feature,importance
ema_7,0.16899593333904
sma_7,0.1581618855878142
price_lag_1,0.15453456194906115
ema_14,0.11179415816637339
price_lag_3,0.08620202517159944
price_to_market_cap_ratio,0.06164211211510679
sma_30,0.06142993194392801
price_lag_7,0.04994984630518161
sma_14,0.046498658354384007
volume_sma_7,0.02658105310522422
month,0.024138328610404502
quarter,0.013997461126554882
price_volatility_7d,0.00823874827780402
market_cap_volatility,0.007090795056192761
volume_lag_1,0.003204561100302033
price_volatility_14d,0.0026281390327202066
day_of_month,0.002425677469625614
price_volume_ratio,0.0019672029303353282
price_change,0.0019603890925686597
market_cap_change,0.001843758810857175
volume_lag_3,0.001628961032915534
price_pct_change,0.0012521206388243463
volume_to_market_cap,0.001032695903465196
price_high_low_ratio,0.0008744549605821937
volume_lag_7,0.0008665496442817052
volume_change,0.0007131264196355632
day_of_week,0.00027625432586283745
is_weekend,7.06095293546169e-05
